TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,0,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,0.5,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,0.8,HOUSEHOLDS BY TYPE,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,1,Total households,"1,170,982","1,179,637",,"1,191,305",*,"1,208,438",*,"1,221,851",*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,2,Married-couple family,36.8%,37.1%,,37.6%,,38.4%,*,38.6%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,3,With own children of the householder under 18 years,9.2%,9.7%,,9.7%,,10.8%,*,11.7%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,4,Cohabiting couple household,9.6%,9.4%,,7.9%,*,7.6%,*,8.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,5,With own children of the householder under 18 years,4.3%,4.2%,,3.8%,*,4.0%,,4.0%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,6,"Male householder, no spouse/partner present",16.8%,16.7%,,16.7%,,15.5%,*,15.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,7,With own children of the householder under 18 years,0.7%,0.8%,,0.7%,,0.8%,,0.7%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,8,Householder living alone,12.6%,12.1%,,12.2%,,10.9%,*,11.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,9,65 years and over,5.2%,4.9%,,4.5%,*,4.2%,*,3.9%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,10,"Female householder, no spouse/partner present",36.8%,36.8%,,37.8%,*,38.4%,*,37.4%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,11,With own children of the householder under 18 years,8.2%,8.0%,,8.6%,,9.5%,*,9.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,12,Householder living alone,16.8%,16.3%,,16.5%,,16.3%,,15.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,13,65 years and over,9.8%,9.2%,*,9.0%,*,8.9%,*,8.5%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,13.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,14,Households with one or more people under 18 years,26.4%,27.1%,,27.5%,*,30.0%,*,30.8%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,15,Households with one or more people 65 years and over,40.4%,39.4%,*,38.7%,*,38.1%,*,36.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,15.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,16,Average household size,2.70,2.68,,2.77,*,2.79,*,2.81,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,17,Average family size,3.38,3.32,*,3.45,*,3.42,,3.46,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,17.3,,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,17.5,RELATIONSHIP,,,,,,,,,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,18,Population in households,"3,158,324","3,159,695",c,"3,297,817",c,"3,371,690",c,"3,434,722",c
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,19,Householder,37.1%,37.3%,,36.1%,*,35.8%,*,35.6%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,20,Spouse,13.6%,13.9%,,13.6%,,13.8%,,13.7%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,21,Unmarried partner,3.7%,3.5%,,2.9%,*,2.7%,*,2.9%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,22,Child,34.5%,33.9%,,35.1%,,35.6%,*,36.3%,*
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,23,Other relatives,10.1%,10.2%,,11.1%,*,10.7%,,10.3%,
CP02PR,50000US7298,"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",1,24,Other nonrelatives,1.0%,1.2%,,1.3%,*,1.3%,*,1.1%,
