TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,0,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,0.5,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,0.8,HOUSEHOLDS BY TYPE,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,1,Total households,"32,090","30,206",,"33,702",,"32,650",,"31,102",
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,2,Married-couple family,35.3%,39.6%,,39.1%,,38.8%,,43.4%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,3,With own children of the householder under 18 years,10.2%,10.1%,,8.4%,,10.5%,,13.7%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,4,Cohabiting couple household,11.6%,9.3%,,9.2%,,7.0%,*,6.8%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,5,With own children of the householder under 18 years,6.6%,4.4%,,4.3%,,4.3%,,2.9%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,6,"Male householder, no spouse/partner present",16.2%,12.9%,,16.4%,,15.4%,,12.0%,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,7,With own children of the householder under 18 years,1.2%,0.0%,,1.0%,,0.6%,,0.0%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,8,Householder living alone,12.7%,10.8%,,14.0%,,11.3%,,9.7%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,9,65 years and over,4.8%,3.8%,,6.2%,,4.6%,,4.3%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,10,"Female householder, no spouse/partner present",36.9%,38.3%,,35.3%,,38.8%,,37.8%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,11,With own children of the householder under 18 years,8.6%,9.1%,,7.1%,,9.6%,,8.7%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,12,Householder living alone,16.1%,16.2%,,15.4%,,17.3%,,15.2%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,13,65 years and over,9.1%,10.2%,,8.2%,,9.8%,,10.1%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,13.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,14,Households with one or more people under 18 years,29.1%,27.4%,,24.5%,,29.2%,,28.4%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,15,Households with one or more people 65 years and over,38.9%,43.7%,*,38.2%,,38.8%,,38.9%,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,15.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,16,Average household size,2.52,2.68,,2.52,,2.66,,2.84,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,17,Average family size,3.05,3.29,,3.09,,3.25,,3.43,*
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,17.3,,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,17.5,RELATIONSHIP,,,,,,,,,
CP02PR,05000US72013,"Arecibo Municipio, Puerto Rico",1,18,Population in households,"80,809","80,975",,"84,764",*,"86,806",*,"88,310",*
