TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,0,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,0.5,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,0.8,HOUSEHOLDS BY TYPE,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,1,Total households,"101,568","109,531",*,"112,215",*,"110,316",*,"109,586",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,2,Married-couple family,41.2%,42.7%,,45.0%,*,42.5%,,44.8%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,3,With own children of the householder under 18 years,8.6%,11.1%,*,13.5%,*,11.6%,*,14.6%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,4,Cohabiting couple household,7.0%,8.2%,,6.8%,,7.1%,,6.5%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,5,With own children of the householder under 18 years,3.7%,4.4%,,3.5%,,4.1%,,2.3%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,6,"Male householder, no spouse/partner present",17.8%,17.7%,,16.2%,,15.3%,,14.9%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,7,With own children of the householder under 18 years,0.6%,1.3%,,1.0%,,0.4%,,0.5%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,8,Householder living alone,13.8%,11.4%,*,11.6%,,11.1%,*,11.5%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,9,65 years and over,5.9%,4.4%,*,4.1%,*,4.6%,,4.2%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,10,"Female householder, no spouse/partner present",34.0%,31.4%,,32.0%,,35.1%,,33.9%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,11,With own children of the householder under 18 years,6.8%,8.3%,,7.5%,,8.9%,*,7.9%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,12,Householder living alone,15.2%,12.7%,*,13.1%,,15.5%,,14.7%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,13,65 years and over,9.1%,6.9%,*,8.9%,,9.1%,,8.7%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,13.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,14,Households with one or more people under 18 years,23.8%,28.3%,*,28.9%,*,28.6%,*,30.1%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,15,Households with one or more people 65 years and over,42.5%,39.0%,*,39.0%,*,39.3%,*,37.6%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,15.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,16,Average household size,2.82,2.65,*,2.71,*,2.78,,2.83,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,17,Average family size,3.52,3.13,*,3.24,*,3.38,,3.48,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,17.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,17.5,RELATIONSHIP,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,18,Population in households,"286,800","290,147",,"303,813",*,"306,767",*,"309,636",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,19,Householder,35.4%,37.8%,*,36.9%,*,36.0%,,35.4%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,20,Spouse,14.5%,16.1%,*,16.8%,*,15.3%,,15.8%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,21,Unmarried partner,2.6%,3.1%,,2.4%,,2.5%,,2.4%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,22,Child,36.4%,33.5%,*,34.8%,,36.0%,,37.1%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,23,Other relatives,10.2%,8.3%,,8.3%,,9.3%,,8.9%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,24,Other nonrelatives,0.9%,1.2%,,0.6%,,0.9%,,0.5%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,24.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,24.5,MARITAL STATUS,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,25,Males 15 years and over,"121,051","121,850",,"125,497",*,"126,409",*,"124,650",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,26,Never married,45.9%,40.4%,*,39.2%,*,43.8%,,39.8%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,27,"Now married, except separated",37.2%,42.4%,*,44.3%,*,41.1%,*,43.7%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,28,Separated,2.1%,2.5%,,2.9%,,2.4%,,3.0%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,29,Widowed,4.4%,2.6%,*,3.4%,,2.9%,*,2.8%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,30,Divorced,10.3%,12.1%,,10.2%,,9.8%,,10.7%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,30.3,,,,,,,,,,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,31,Females 15 years and over,"128,348","130,758",,"133,302",*,"133,521",*,"136,417",*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,32,Never married,33.4%,33.7%,,30.8%,,31.8%,,31.2%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,33,"Now married, except separated",35.3%,40.2%,*,39.9%,*,38.0%,,39.9%,*
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,34,Separated,4.0%,2.0%,*,2.9%,,3.7%,,4.6%,
CP02PR,31000US10380,"Aguadilla-Isabela, PR Metro Area",1,35,Widowed,12.2%,10.0%,*,10.3%,*,11.3%,,11.1%,
