TBLID,GEOID,GEONAME,PROFTBL,PROFLN,TITLE,EST_19,EST_18,SIG90_19_18,EST_17,SIG90_19_17,EST_16,SIG90_19_16,EST_15,SIG90_19_15
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,0,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,0.5,COMPARATIVE SOCIAL CHARACTERISTICS IN PUERTO RICO,,,,,,,,,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,0.8,HOUSEHOLDS BY TYPE,,,,,,,,,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,1,Total households,"62,502","59,679",,"58,417",*,"62,671",,"63,857",
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,2,Married-couple family,36.5%,36.9%,,38.1%,,34.9%,,36.5%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,3,With own children of the householder under 18 years,10.4%,10.4%,,9.5%,,9.8%,,12.9%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,4,Cohabiting couple household,7.3%,6.9%,,7.6%,,6.6%,,7.1%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,5,With own children of the householder under 18 years,2.7%,3.2%,,3.6%,,2.8%,,3.5%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,6,"Male householder, no spouse/partner present",15.5%,14.2%,,14.6%,,14.2%,,13.1%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,7,With own children of the householder under 18 years,0.6%,0.7%,,0.7%,,0.7%,,0.5%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,8,Householder living alone,10.7%,11.1%,,10.8%,,10.2%,,8.0%,*
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,9,65 years and over,4.0%,4.7%,,3.6%,,3.7%,,3.0%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,10,"Female householder, no spouse/partner present",40.8%,42.0%,,39.6%,,44.3%,,43.2%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,11,With own children of the householder under 18 years,8.4%,8.8%,,9.6%,,11.8%,*,10.7%,*
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,12,Householder living alone,17.2%,19.4%,,16.0%,,18.6%,,17.7%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,13,65 years and over,10.1%,9.8%,,7.7%,*,10.4%,,9.5%,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,13.3,,,,,,,,,,
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,14,Households with one or more people under 18 years,25.8%,26.0%,,28.0%,,28.7%,,33.1%,*
CP02PR,16000US7206593,"Bayamón zona urbana, Puerto Rico",1,15,Households with one or more people 65 years and over,40.5%,39.6%,,38.2%,*,39.3%,,36.3%,*
